,Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
0,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
1,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
2,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
3,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
4,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
5,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
6,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
7,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
8,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
9,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
10,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
11,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
12,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
13,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
14,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
15,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
16,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
17,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
18,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
19,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
20,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
21,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
22,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
23,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
24,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
25,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
26,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
27,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
28,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
29,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
30,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
31,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
32,12.04.2022,3.3799,2.5264,3.5922,4.8737,0.2022,0.6643,0.245,4.9412,5.9126,1.307,3.6197,0.2459,0.5151,1.0628,0.0544,0.4788,0.3096,4.5466,0.3122,0.9683,0.7138,0.0597,0.3693,0.229,3.1068,0.042,0.154,1.2378,0.6544,0.1352,285.3875,6.2243
33,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
34,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
35,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
36,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
37,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
38,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
39,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
40,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
41,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
42,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
43,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
44,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
45,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
46,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
47,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
48,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
49,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
50,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
51,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
52,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
53,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
54,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
55,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
56,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
57,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
58,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
59,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
60,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
61,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
62,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
63,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
64,11.04.2022,3.3686,2.5262,3.5952,4.8445,0.2021,0.6643,0.2459,4.9409,5.9017,1.305,3.6078,0.2467,0.5181,1.0628,0.0558,0.4793,0.3069,4.523,0.3096,0.9631,0.7102,0.0595,0.3667,0.2267,3.0949,0.042,0.1538,1.2314,0.6546,0.1347,284.8316,6.2045
